Environment	Genotype	Block	BN	FT	MT	DT	PH	SN	SP	PW	PN	SW	SY	OIL	PNM
N3	TN015	R2	11	.	.	.	.	10.27698808	6197.02381	0.04316335	6030	4.2	2602.75	44.918	830
N3	TN015	R3	10	.	.	.	.	14.90988796	7104.561611	0.050335782	4765	3.376	2398.5	46.202	700
N3	TN016	R1	11.2	194	254	60	135	14.6722389	6807.918848	0.044838362	4640	3.056	2080.5	42.59	882.5
N3	TN016	R2	10.6	.	.	.	.	14.24085953	9028.70494	0.042665615	6340	2.996	2705	41.894	857.5
N3	TN016	R3	11.4	.	.	.	.	13.68370437	8976.510067	0.040777439	6560	2.98	2675	42.304	987.5
N3	TN017	R1	11.4	196	255	59	148	11.88595171	7404.947917	0.045642055	6230	3.84	2843.5	40.892	597.5
N3	TN017	R2	11.4	.	.	.	.	12.50827902	7461.188437	0.04673093	5965	3.736	2787.5	39.89	725
N3	TN017	R3	10	.	.	.	.	12.3983613	5520.37037	0.050213363	4452.5	4.05	2235.75	40.124	555
N3	TN018	R1	10	201	252	51	160	16.78172038	8609.022556	0.044639376	5130	2.66	2290	42.128	640
N3	TN018	R2	6.6	.	.	.	.	17.37854923	9080.291971	0.047617225	5225	2.74	2488	42.47	345
N3	TN018	R3	9.8	.	.	.	.	17.46615661	8409.954407	0.045970924	4815	2.632	2213.5	42.198	732.5
N3	TN019	R1	9	198	252	54	165	16.52607842	6424.512987	0.061080386	3887.5	3.696	2374.5	43.556	777.5
N3	TN019	R2	10.8	.	.	.	.	14.74123866	7094.221106	0.05867013	4812.5	3.98	2823.5	43.554	832.5
N3	TN019	R3	10.8	.	.	.	.	13.43875366	8100.208768	0.051497304	6027.5	3.832	3104	44.844	802.5
N3	TN020	R1	10.6	200	252	52	165	14.2123344	7902.057927	0.055939748	5560	3.936	3110.25	44.49	825
N3	TN020	R2	.	.	.	.	.	.	7791.765403	.	.	3.376	2630.5	43.352	.
N3	TN020	R3	9.4	.	.	.	.	19.75969927	8111.356549	0.076035323	4105	3.848	3121.25	44.722	802.5
N3	TN021	R1	9.8	194	252	58	150	11.32151715	7523.148148	0.037904439	6645	3.348	2518.75	39.674	807.5
N3	TN021	R2	10	.	.	.	.	.	.	.	6912.5	.	2447.75	.	672.5
N3	TN021	R3	8.6	.	.	.	.	11.34765543	6513.554217	0.037674216	5740	3.32	2162.5	40.998	530
N3	TN022	R1	10	197	251	54	162	15.80653087	8796.334432	0.038378257	5565	2.428	2135.75	43.916	920
N3	TN022	R2	10	.	.	.	.	11.99112022	5995.560109	0.03511	5000	2.928	1755.5	44.526	810
N3	TN022	R3	10.4	.	.	.	.	13.16085828	6248.11747	0.03495524	4747.5	2.656	1659.5	44.718	927.5
N3	TN023	R1	9.4	197	251	54	157	13.38314373	6407.18006	0.03597389	4787.5	2.688	1722.25	44.126	727.5
N3	TN023	R2	9.4	.	.	.	.	17.46194321	8425.387597	0.045051813	4825	2.58	2173.75	44.042	897.5
N3	TN023	R3	10.8	.	.	.	.	18.14076314	11179.24528	0.049995943	6162.5	2.756	3081	45.332	962.5
N3	TN024	R1	13.6	200	251	51	138	9.914861493	8494.557584	0.028237526	8567.5	2.848	2419.25	43.898	752.5
N3	TN024	R2	12	.	.	.	.	9.781520435	6871.518106	0.028092527	7025	2.872	1973.5	43.402	750
N3	TN024	R3	12.8	.	.	.	.	6.058582219	4571.200284	0.017060968	7545	2.816	1287.25	41.862	690
N3	TN025	R1	12.2	194	251	57	127	9.486352681	8974.089636	0.027093023	9460	2.856	2563	46.738	700
N3	TN025	R2	9.2	.	.	.	.	12.93522214	7091.735537	0.039129047	5482.5	3.025	2145.25	48.022	817.5
N3	TN025	R3	10.4	.	.	.	.	12.82504937	8977.534562	0.044528571	7000	3.472	3117	49.618	655
N3	TN026	R1	11	201	255	54	163	12.96669313	6943.66417	0.041545285	5355	3.204	2224.75	44.684	632.5
N3	TN026	R2	10.8	.	.	.	.	15.29938739	9084.011264	0.048896842	5937.5	3.196	2903.25	44.186	615
N3	TN026	R3	10.4	.	.	.	.	12.02770585	6016.859852	0.045657171	5002.5	3.796	2284	45.188	665
N3	TN027	R1	10	201	255	54	155	12.7453192	6133.684864	0.041090909	4812.5	3.224	1977.5	43.93	575
N3	TN027	R2	11	.	.	.	.	15.83464166	8649.673008	0.053267735	5462.5	3.364	2909.75	44.872	557.5
N3	TN027	R3	10.2	.	.	.	.	7.340171013	5048.202614	0.022460923	6877.5	3.06	1544.75	45.39	930
N3	TN028	R1	10.6	200	254	54	161	12.47365036	6713.942308	0.038917789	5382.5	3.12	2094.75	41.298	807.5
N3	TN028	R2	10	.	.	.	.	16.48974063	9028.132992	0.051579909	5475	3.128	2824	43.902	730
N3	TN028	R3	10.4	.	.	.	.	14.64869544	7635.632497	0.053731415	5212.5	3.668	2800.75	42.962	955
N3	TN029	R1	10.2	200	254	54	154	14.25794626	7695.726496	0.041704493	5397.5	2.925	2251	44.352	852.5
N3	TN029	R2	8.4	.	.	.	.	14.99388904	5990.05867	0.046001252	3995	3.068	1837.75	44.842	862.5
N3	TN029	R3	10	.	.	.	.	17.13322037	8793.625356	0.048110083	5132.5	2.808	2469.25	44.37	842.5
N3	TN030	R1	12.8	196	254	58	130	12.54690583	10818.56955	0.038242969	8622.5	3.048	3297.5	44.058	850
N3	TN030	R2	10.8	.	.	.	.	12.63325066	8078.963795	0.040476935	6395	3.204	2588.5	45.062	700
